dataset,split,device,model,n,mean_seconds,std_seconds,mean_hours,mean_human,min_human,max_human,timing_source,n_notebook,n_mtime
hiv,scaffold,gpu,SchNet (3D coords),4,942.86,151.87,0.2619,15m 43s,13m 21s,18m 10s,notebook_cell,4,1
lipophilicity,random,gpu,D-MPNN (2D),5,130860.52,10016.18,36.3501,36h 21m 1s,34h 16m 49s,40h 55m 51s,notebook_cell,5,0
lipophilicity,random,gpu,GIN (2D),5,228.17,24.46,0.0634,3m 48s,3m 28s,4m 29s,notebook_cell,5,0
lipophilicity,random,gpu,GIN (3D),5,253.68,34.88,0.0705,4m 14s,3m 37s,5m 6s,notebook_cell,5,0
lipophilicity,random,gpu,SMILES LSTM,5,636.16,178.59,0.1767,10m 36s,7m 38s,13m 52s,notebook_cell,5,0
lipophilicity,random,gpu,SchNet (3D coords),5,373.47,43.3,0.1037,6m 13s,5m 6s,6m 58s,notebook_cell,5,0
lipophilicity,scaffold,gpu,D-MPNN (2D),3,125645.97,9022.83,34.9017,34h 54m 6s,32h 5m 31s,36h 54m 26s,notebook_cell,3,2
lipophilicity,scaffold,gpu,GIN (2D),2,204.45,28.58,0.0568,3m 24s,3m 4s,3m 45s,notebook_cell,2,1
lipophilicity,scaffold,gpu,GIN (3D),3,252.37,33.0,0.0701,4m 12s,3m 38s,4m 44s,notebook_cell,3,2
lipophilicity,scaffold,gpu,SMILES LSTM,5,701.08,123.67,0.1947,11m 41s,8m 23s,14m 1s,notebook_cell,5,0
lipophilicity,scaffold,gpu,SchNet (3D coords),3,355.24,31.94,0.0987,5m 55s,5m 21s,6m 24s,notebook_cell,3,2
tox21,random,cpu,Combined + XGBoost,2,4456.69,639.1,1.238,1h 14m 17s,1h 6m 45s,1h 21m 49s,notebook_cell,2,0
tox21,random,cpu,Descriptors + RF,2,1265.09,31.9,0.3514,21m 5s,20m 43s,21m 28s,notebook_cell,2,0
tox21,random,cpu,Descriptors + SVM,2,241.28,23.38,0.067,4m 1s,3m 45s,4m 18s,notebook_cell,2,0
tox21,random,cpu,Descriptors + XGBoost,2,1329.83,11.34,0.3694,22m 10s,22m 2s,22m 18s,notebook_cell,2,0
tox21,random,cpu,Morgan + RF,2,5817.93,1790.85,1.6161,1h 36m 58s,1h 15m 52s,1h 58m 4s,notebook_cell,2,0
tox21,random,cpu,Morgan + SVM,2,5767.2,877.36,1.602,1h 36m 7s,1h 25m 47s,1h 46m 28s,notebook_cell,2,0
tox21,random,cpu,Morgan + XGBoost,2,3232.39,275.06,0.8979,53m 52s,50m 38s,57m 7s,notebook_cell,2,0
tox21,random,gpu,D-MPNN (2D),5,142798.33,10049.71,39.6662,39h 39m 58s,36h 52m 60s,43h 0m 24s,notebook_cell,5,0
tox21,random,gpu,GIN (2D),5,253.07,24.72,0.0703,4m 13s,3m 32s,4m 35s,notebook_cell,5,0
tox21,random,gpu,GIN (3D),5,260.98,41.2,0.0725,4m 21s,3m 33s,5m 25s,notebook_cell,5,0
tox21,random,gpu,SMILES LSTM,5,1230.12,268.89,0.3417,20m 30s,16m 59s,28m 15s,notebook_cell,5,0
tox21,random,gpu,SchNet (3D coords),5,396.73,39.64,0.1102,6m 37s,5m 43s,7m 25s,notebook_cell,5,0
tox21,scaffold,gpu,D-MPNN (2D),3,109111.6,9143.43,30.3088,30h 18m 32s,27h 41m 28s,32h 45m 46s,notebook_cell,3,2
tox21,scaffold,gpu,GIN (2D),3,242.85,33.32,0.0675,4m 3s,3m 28s,4m 34s,notebook_cell,3,0
tox21,scaffold,gpu,GIN (3D),3,289.64,39.84,0.0805,4m 50s,4m 24s,5m 36s,notebook_cell,3,2
tox21,scaffold,gpu,SMILES LSTM,4,1129.86,189.68,0.3139,18m 50s,16m 7s,22m 5s,notebook_cell,4,1
tox21,scaffold,gpu,SchNet (3D coords),3,386.52,25.0,0.1074,6m 27s,5m 59s,6m 47s,notebook_cell,3,2
