dataset,split,seed,device,model,seconds,hours,human,source,note
tox21,random,0,gpu,GIN (3D),212.7,0.0591,3m 33s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,0,gpu,SMILES LSTM,1123.01,0.3119,18m 43s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,0,gpu,SchNet (3D coords),397.94,0.1105,6m 38s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,1,gpu,D-MPNN (2D),132779.86,36.8833,36h 52m 60s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,1,gpu,GIN (2D),266.27,0.074,4m 26s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,1,gpu,GIN (3D),324.95,0.0903,5m 25s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,1,gpu,SMILES LSTM,1695.01,0.4708,28m 15s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,1,gpu,SchNet (3D coords),445.05,0.1236,7m 25s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,2,gpu,D-MPNN (2D),151684.44,42.1346,42h 8m 4s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,2,gpu,GIN (2D),250.64,0.0696,4m 11s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,2,gpu,GIN (3D),245.5,0.0682,4m 6s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,2,gpu,SMILES LSTM,1212.49,0.3368,20m 12s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,2,gpu,SchNet (3D coords),342.55,0.0952,5m 43s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Combined + XGBoost,4004.78,1.1124,1h 6m 45s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Descriptors + RF,1242.53,0.3451,20m 43s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Descriptors + SVM,257.82,0.0716,4m 18s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Descriptors + XGBoost,1321.81,0.3672,22m 2s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Morgan + RF,7084.25,1.9678,1h 58m 4s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Morgan + SVM,5146.82,1.4297,1h 25m 47s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,cpu,Morgan + XGBoost,3426.88,0.9519,57m 7s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,gpu,D-MPNN (2D),140568.49,39.0468,39h 2m 48s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,gpu,GIN (2D),275.28,0.0765,4m 35s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,gpu,GIN (3D),252.92,0.0703,4m 13s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,gpu,SMILES LSTM,1101.52,0.306,18m 22s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,3,gpu,SchNet (3D coords),376.66,0.1046,6m 17s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,cpu,Combined + XGBoost,4908.6,1.3635,1h 21m 49s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,cpu,Descriptors + RF,1287.64,0.3577,21m 28s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,cpu,Descriptors + SVM,224.75,0.0624,3m 45s,notebook_cell,Jupyter cell wall time (HPO + final train)
tox21,random,4,cpu,Descriptors + XGBoost,1337.85,0.3716,22m 18s,notebook_cell,Jupyter cell wall time (HPO + final train)
